Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
PRKAR2B	PRKAR2	ENSG00000005249	Protein kinase cAMP-dependent type II regulatory subunit beta	7	107044649-107161811	Predicted intracellular proteins	Evidence at protein level	HPA008421	Enhanced		Approved	Golgi apparatus<br>Centrosome<br>Mitochondria<br>Cytosol	Pancreatic cancer:4.03e-4 (favourable), Colorectal cancer:6.38e-4 (favourable), Thyroid cancer:8.74e-4 (unfavourable)	Mixed	Tissue enhanced		adipose tissue: 139.4	adrenal gland: 39.1	Cell line enhanced		AN3-CA: 64.4;Daudi: 70.1;U-698: 172.6
MBD2		ENSG00000134046	Methyl-CpG binding domain protein 2	18	54151601-54224788	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	CAB037282, HPA067582, HPA067615	Approved		Enhanced	Nucleoplasm	Colorectal cancer:6.49e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 50.6	Expressed in all		
PIGN	MDC4, PIG-N	ENSG00000197563	Phosphatidylinositol glycan anchor biosynthesis class N	18	61905255-62187118	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA039922, HPA040374	Approved		Supported	Plasma membrane<br>Cytosol	Colorectal cancer:6.51e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 33.4	Expressed in all		
REXO2	CGI-114, DKFZP566E144, SFN	ENSG00000076043	RNA exonuclease 2	11	114439386-114450279	Predicted intracellular proteins	Evidence at protein level	HPA038450, HPA038451	Enhanced		Supported	Nucleoli<br>Focal adhesion sites<br>Mitochondria	Colorectal cancer:6.51e-4 (favourable), Urothelial cancer:6.70e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 259.4	Expressed in all		
SELENOF	SEP15	ENSG00000183291	Selenoprotein F	1	86862445-86914424	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA054937			Approved	Nucleoli<br>Cytosol	Liver cancer:1.98e-5 (unfavourable), Colorectal cancer:6.53e-4 (favourable), Head and neck cancer:8.17e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 361.7	Expressed in all		
RNFT1	PTD016	ENSG00000189050	Ring finger protein, transmembrane 1	17	59952240-59964761	Predicted membrane proteins	Evidence at protein level	HPA013739			Approved	Nucleoli	Thyroid cancer:2.57e-4 (favourable), Colorectal cancer:6.57e-4 (favourable), Lung cancer:7.48e-4 (favourable)	Expressed in all	Tissue enriched	9	testis: 114.0	epididymis: 12.6	Expressed in all		
TRPA1	ANKTM1	ENSG00000104321	Transient receptor potential cation channel subfamily A member 1	8	72019917-72075617	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level						Colorectal cancer:6.57e-4 (favourable)	Mixed	Tissue enhanced		urinary bladder: 29.5	gallbladder: 11.4	Cell line enriched	5	HHSteC: 21.8
PPA2	FLJ20459	ENSG00000138777	Pyrophosphatase (inorganic) 2	4	105369077-105474081	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA030888, HPA031671, HPA031672	Supported		Approved	Nucleus<br>Mitochondria	Renal cancer:1.27e-11 (favourable), Breast cancer:2.98e-4 (unfavourable), Colorectal cancer:6.60e-4 (favourable)	Expressed in all	Expressed in all			prostate: 21.3	Expressed in all		
ANO10	FLJ10375, MGC47890, SCAR10, TMEM16K	ENSG00000160746	Anoctamin 10	3	43354859-43691594	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA051569	Approved				Renal cancer:6.41e-6 (favourable), Endometrial cancer:1.11e-4 (favourable), Liver cancer:3.19e-4 (unfavourable), Colorectal cancer:6.70e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 62.5	Mixed		
ELOVL6	FLJ23378, LCE, MGC5487	ENSG00000170522	ELOVL fatty acid elongase 6	4	110045846-110199199	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA042355	Uncertain				Colorectal cancer:6.74e-4 (favourable)	Expressed in all	Mixed			liver: 27.9	Mixed		
IL2RB	CD122, IL15RB	ENSG00000100385	Interleukin 2 receptor subunit beta	22	37125838-37175054	Cancer-related genes, CD markers, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA062657	Enhanced				Renal cancer:3.50e-7 (unfavourable), Endometrial cancer:3.18e-5 (favourable), Colorectal cancer:6.76e-4 (favourable)	Expressed in all	Tissue enhanced		placenta: 52.7;spleen: 67.1	lymph node: 39.8	Cell line enriched	10	HDLM-2: 476.9
HBS1L	DKFZp434g247, EF-1a, eRF3c, ERFS, HBS1, HSPC276, KIAA1038	ENSG00000112339	HBS1 like translational GTPase	6	134960378-135103056	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA029728, HPA029729	Approved		Approved	Nuclear bodies<br>Cytosol	Colorectal cancer:6.77e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 73.2	Expressed in all		
DNAJC16	KIAA0962	ENSG00000116138	DnaJ heat shock protein family (Hsp40) member C16	1	15526813-15592379	Predicted membrane proteins	Evidence at protein level	HPA043643	Approved		Approved	Vesicles	Colorectal cancer:6.77e-4 (favourable), Renal cancer:7.24e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 16.8	Expressed in all		
KDM1B	AOF1, bA204B7.3, C6orf193, dJ298J15.2, FLJ33898, FLJ34109, FLJ43328, LSD2	ENSG00000165097	Lysine demethylase 1B	6	18155329-18223853	Predicted intracellular proteins	Evidence at protein level	HPA031269	Uncertain		Approved	Nucleus	Colorectal cancer:6.94e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 65.1	Expressed in all		
ARHGAP26	GRAF, KIAA0621, OPHN1L, OPHN1L1	ENSG00000145819	Rho GTPase activating protein 26	5	142770384-143229011	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA035106, HPA035107	Enhanced		Approved	Cytosol	Urothelial cancer:2.88e-6 (favourable), Endometrial cancer:5.93e-6 (favourable), Cervical cancer:1.36e-4 (favourable), Breast cancer:2.05e-4 (favourable), Colorectal cancer:6.95e-4 (favourable)	Expressed in all	Mixed			cerebral cortex: 30.8	Cell line enhanced		Karpas-707: 61.5
MRPL37	MRP-L2, RPML2	ENSG00000116221	Mitochondrial ribosomal protein L37	1	54184041-54225464	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA025767, HPA025826, HPA025951	Enhanced		Supported	Mitochondria	Liver cancer:6.45e-5 (unfavourable), Colorectal cancer:6.99e-4 (favourable), Stomach cancer:9.25e-4 (favourable)	Expressed in all	Expressed in all			fallopian tube: 61.8	Expressed in all		
AHCYL1	IRBIT, PPP1R78, XPVKONA	ENSG00000168710	Adenosylhomocysteinase like 1	1	109984686-110023741	Predicted intracellular proteins	Evidence at protein level	HPA042589	Approved		Supported	Cytosol	Colorectal cancer:7.00e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 253.8	Expressed in all		
CCNG1	CCNG	ENSG00000113328	Cyclin G1	5	163437569-163446151	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB000350	Supported		Supported	Nucleoplasm	Colorectal cancer:7.00e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 137.7	Mixed		
GPD1L	KIAA0089	ENSG00000152642	Glycerol-3-phosphate dehydrogenase 1-like	3	32105689-32168713	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level						Renal cancer:3.33e-15 (favourable), Liver cancer:1.35e-5 (unfavourable), Lung cancer:5.71e-5 (favourable), Colorectal cancer:7.05e-4 (favourable)	Expressed in all	Expressed in all			prostate: 92.5	Expressed in all		
UEVLD	Attp, UEV3	ENSG00000151116	UEV and lactate/malate dehyrogenase domains	11	18529609-18588747	Predicted intracellular proteins	Evidence at protein level	HPA047134	Approved		Approved	Nucleus<br>Cytosol	Colorectal cancer:7.07e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 21.8	Mixed		
DDB1		ENSG00000167986	Damage specific DNA binding protein 1	11	61299451-61342596	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB032821, HPA045174, HPA068456	Approved		Enhanced	Nucleoplasm	Renal cancer:1.51e-8 (favourable), Colorectal cancer:7.09e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 490.0	Expressed in all		
AMACR	P504S, RACE	ENSG00000242110	Alpha-methylacyl-CoA racemase	5	33986178-34008108	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB001809, HPA019527, HPA020912	Enhanced		Supported	Vesicles<br>Plasma membrane	Colorectal cancer:7.11e-4 (favourable)	Expressed in all	Expressed in all			kidney: 135.3	Expressed in all		
LRRC8B	KIAA0231, TA-LRRP	ENSG00000197147	Leucine rich repeat containing 8 family member B	1	89524836-89597864	Predicted membrane proteins, Transporters	Evidence at protein level	HPA017950	Uncertain		Approved	Nuclear speckles	Colorectal cancer:7.15e-4 (favourable), Endometrial cancer:9.99e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 37.6	testis: 28.8	Mixed		
PRPF38A	FLJ14936, Prp38	ENSG00000134748	Pre-mRNA processing factor 38A	1	52404564-52420839	Predicted intracellular proteins	Evidence at protein level	HPA053099, HPA058407	Uncertain		Enhanced	Nucleus	Liver cancer:3.83e-5 (unfavourable), Renal cancer:7.41e-5 (unfavourable), Colorectal cancer:7.16e-4 (favourable)	Expressed in all	Expressed in all			endometrium: 23.0	Expressed in all		
METAP1	KIAA0094, MAP1A, MetAP1A	ENSG00000164024	Methionyl aminopeptidase 1	4	98995620-99062813	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB025485, HPA037997, HPA037998	Approved		Approved	Nucleoplasm<br>Plasma membrane<br>Cytosol	Pancreatic cancer:2.28e-5 (unfavourable), Liver cancer:3.08e-5 (unfavourable), Renal cancer:1.72e-4 (favourable), Colorectal cancer:7.22e-4 (favourable), Urothelial cancer:9.31e-4 (favourable)	Expressed in all	Expressed in all			testis: 77.3	Expressed in all		
ACADM	ACAD1, MCAD, MCADH	ENSG00000117054	Acyl-CoA dehydrogenase, C-4 to C-12 straight chain	1	75724347-75787575	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA006198, HPA026542	Enhanced		Enhanced	Mitochondria	Renal cancer:3.83e-8 (favourable), Colorectal cancer:7.30e-4 (favourable)	Expressed in all	Expressed in all			kidney: 328.0	Expressed in all		
CCNJL	FLJ14166	ENSG00000135083	Cyclin J like	5	160251652-160345396	Predicted intracellular proteins	Evidence at protein level	HPA049970	Approved		Approved	Nuclear speckles	Thyroid cancer:7.10e-4 (favourable), Colorectal cancer:7.31e-4 (favourable), Urothelial cancer:8.02e-4 (favourable)	Mixed	Tissue enhanced		testis: 19.4	lung: 10.3	Cell line enhanced		HBEC3-KT: 46.5;WM-115: 45.6
MRPL19	KIAA0104, MRP-L15, RLX1, RPML15	ENSG00000115364	Mitochondrial ribosomal protein L19	2	75646783-75690851	Plasma proteins, Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA046805, HPA056622	Approved		Supported	Mitochondria	Pancreatic cancer:1.97e-5 (unfavourable), Colorectal cancer:7.39e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 66.4	Expressed in all		
SLC25A5	2F1, ANT2, T2, T3	ENSG00000005022	Solute carrier family 25 member 5	X	119468400-119471319	FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA046835, HPA071684	Approved		Supported	Mitochondria	Renal cancer:8.06e-6 (favourable), Cervical cancer:7.35e-4 (favourable), Colorectal cancer:7.47e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 769.6	Expressed in all		
CLCA4	CaCC2	ENSG00000016602	Chloride channel accessory 4	1	86547078-86580754	Predicted membrane proteins	Evidence at protein level	HPA017045	Uncertain				Colorectal cancer:7.47e-4 (favourable), Head and neck cancer:8.63e-4 (favourable)	Tissue enhanced	Group enriched	6	colon: 249.5;esophagus: 365.5;rectum: 158.4	urinary bladder: 41.0	Cell line enriched	1215	RT4: 342.2
VANGL1	STB2	ENSG00000173218	VANGL planar cell polarity protein 1	1	115641953-115698224	Disease related genes, Predicted membrane proteins	Evidence at protein level	HPA025235, CAB076375	Approved		Approved	Plasma membrane	Colorectal cancer:7.53e-4 (favourable), Pancreatic cancer:7.89e-4 (unfavourable)	Expressed in all	Mixed			fallopian tube: 19.4	Mixed		
CTNNB1	armadillo, beta-catenin, CTNNB	ENSG00000168036	Catenin beta 1	3	41194837-41260096	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB000108, CAB001950, HPA029159, HPA029160	Enhanced		Enhanced	Plasma membrane	Colorectal cancer:7.54e-4 (favourable)	Expressed in all	Expressed in all			placenta: 285.6	Expressed in all		
PSD3	DKFZp761K1423, EFA6D, EFA6R, HCA67, KIAA0942	ENSG00000156011	Pleckstrin and Sec7 domain containing 3	8	18527301-19084730	Predicted intracellular proteins	Evidence at protein level	HPA002455	Enhanced		Approved	Nucleus<br>Vesicles	Endometrial cancer:5.76e-5 (unfavourable), Colorectal cancer:7.55e-4 (favourable)	Expressed in all	Tissue enhanced		cerebral cortex: 83.3	testis: 29.6	Cell line enhanced		U-87 MG: 48.5
ACAD8		ENSG00000151498	Acyl-CoA dehydrogenase family member 8	11	134253495-134265855	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA040689, HPA043903	Enhanced				Renal cancer:6.42e-10 (favourable), Lung cancer:2.38e-4 (favourable), Head and neck cancer:6.19e-4 (favourable), Colorectal cancer:7.62e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 43.2	Expressed in all		
CLTC	CLTCL2, Hc	ENSG00000141367	Clathrin heavy chain	17	59619689-59696956	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB010389, CAB011571, CAB017155, HPA059143	Approved		Enhanced	Vesicles<br>Mitotic spindle<br>Cytosol	Urothelial cancer:2.02e-4 (unfavourable), Liver cancer:5.54e-4 (unfavourable), Cervical cancer:7.35e-4 (unfavourable), Colorectal cancer:7.65e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 365.5	Expressed in all		
HMGCL	HL	ENSG00000117305	3-hydroxymethyl-3-methylglutaryl-CoA lyase	1	23801885-23838620	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA004727	Enhanced				Renal cancer:5.07e-8 (favourable), Colorectal cancer:7.67e-4 (favourable)	Expressed in all	Expressed in all			liver: 154.3	Expressed in all		
SLC4A4	hhNMC, HNBC1, NBC1, NBC2, pNBC, SLC4A5	ENSG00000080493	Solute carrier family 4 member 4	4	71186757-71572087	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB022493, HPA035628, HPA035629	Enhanced				Renal cancer:1.18e-4 (favourable), Colorectal cancer:7.69e-4 (favourable)	Group enriched	Tissue enhanced		kidney: 125.8	cerebral cortex: 59.3	Cell line enhanced		BJ: 12.5;RPTEC TERT1: 11.7;U-138 MG: 8.0
OMA1	FLJ33782, MPRP-1, YKR087C, ZMPOMA1	ENSG00000162600	OMA1 zinc metallopeptidase	1	58415384-58546802	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA055120	Approved		Approved	Nucleoplasm<br>Mitochondria	Breast cancer:1.63e-4 (favourable), Colorectal cancer:7.70e-4 (favourable), Lung cancer:8.52e-4 (favourable)	Expressed in all	Expressed in all			prostate: 31.9	Expressed in all		
VPS35	FLJ10752, MEM3, PARK17	ENSG00000069329	VPS35, retromer complex component	16	46656132-46689518	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA040802	Enhanced		Supported	Endosomes<br>Lysosomes	Liver cancer:2.10e-6 (unfavourable), Renal cancer:9.75e-5 (favourable), Colorectal cancer:7.74e-4 (favourable)	Expressed in all	Mixed			parathyroid gland: 15.8	Expressed in all		
DSG2	CDHF5	ENSG00000046604	Desmoglein 2	18	31498043-31549008	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA004896, CAB025122	Enhanced		Enhanced	Plasma membrane<br>Cell Junctions	Renal cancer:3.14e-10 (favourable), Pancreatic cancer:4.94e-5 (unfavourable), Lung cancer:2.43e-4 (unfavourable), Head and neck cancer:5.63e-4 (unfavourable), Colorectal cancer:7.81e-4 (favourable), Cervical cancer:8.22e-4 (unfavourable)	Expressed in all	Tissue enhanced		parathyroid gland: 251.3	rectum: 106.9	Cell line enhanced		HaCaT: 233.0;hTERT-HME1: 159.3
KCTD9	BTBD27, FLJ20038	ENSG00000104756	Potassium channel tetramerization domain containing 9	8	25427847-25458476	Predicted intracellular proteins	Evidence at protein level	HPA042468, HPA047902			Supported	Nucleoplasm<br>Intermediate filaments<br>Cytosol	Colorectal cancer:7.88e-4 (favourable)	Expressed in all	Expressed in all			prostate: 28.1	Expressed in all		
AP5M1	C14orf108, FLJ10813, mu5, MuD, MUDENG	ENSG00000053770	Adaptor related protein complex 5 mu 1 subunit	14	57268909-57298742	Predicted intracellular proteins	Evidence at protein level	HPA055768, HPA057098	Approved				Renal cancer:1.11e-14 (favourable), Colorectal cancer:7.91e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 43.3	Expressed in all		
CHAF1B	CAF-1, CAF1, CAF1A, CAF1P60, MPHOSPH7, MPP7	ENSG00000159259	Chromatin assembly factor 1 subunit B	21	36385378-36419015	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA021679, CAB033604	Enhanced		Supported	Nucleoplasm	Liver cancer:6.14e-6 (unfavourable), Cervical cancer:5.44e-5 (favourable), Colorectal cancer:7.92e-4 (favourable)	Expressed in all	Mixed			testis: 5.4	Expressed in all		
ZMAT2	FLJ31121, hSNU23, Snu23	ENSG00000146007	Zinc finger matrin-type 2	5	140698680-140706676	Predicted intracellular proteins	Evidence at protein level	HPA036518	Approved		Approved	Nucleus<br>Mitochondria	Colorectal cancer:7.96e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 103.3	Expressed in all		
FAM135A	FLJ20176, KIAA1411	ENSG00000082269	Family with sequence similarity 135 member A	6	70412941-70561174	Predicted intracellular proteins	Evidence at protein level	HPA031743, HPA031744	Approved		Approved	Nucleoplasm<br>Cytosol	Renal cancer:3.46e-4 (favourable), Colorectal cancer:8.00e-4 (favourable)	Expressed in all	Mixed			esophagus: 33.3	Cell line enhanced		RH-30: 29.8
CCNI2	FLJ16793	ENSG00000205089	Cyclin I family member 2	5	132747445-132754403	Predicted intracellular proteins	Evidence at transcript level	HPA056288	Approved		Approved	Nucleoplasm<br>Golgi apparatus<br>Cytosol	Colorectal cancer:8.21e-4 (favourable)	Tissue enhanced	Mixed			duodenum: 3.8	Cell line enriched	6	MOLT-4: 21.8
FAHD1	C16orf36, DKFZP566J2046	ENSG00000180185	Fumarylacetoacetate hydrolase domain containing 1	16	1826941-1840207	Enzymes, Predicted intracellular proteins	Evidence at protein level	CAB025530, HPA043226, HPA043534	Enhanced		Enhanced	Nucleus<br>Mitochondria	Renal cancer:2.80e-14 (favourable), Colorectal cancer:8.27e-4 (favourable)	Expressed in all	Expressed in all			kidney: 66.1	Expressed in all		
TWF1	A6, PTK9	ENSG00000151239	Twinfilin actin binding protein 1	12	43793723-43806375	Predicted intracellular proteins	Evidence at protein level	HPA018116	Approved		Enhanced	Cytosol	Liver cancer:1.53e-4 (unfavourable), Colorectal cancer:8.29e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 119.5	Expressed in all		
GBP1		ENSG00000117228	Guanylate binding protein 1	1	89052319-89065360	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB015450	Approved				Renal cancer:5.12e-9 (unfavourable), Ovarian cancer:5.04e-4 (favourable), Colorectal cancer:8.32e-4 (favourable)	Expressed in all	Expressed in all			appendix: 118.8	Cell line enhanced		BJ hTERT+ SV40 Large T+: 109.8;BJ hTERT+ SV40 Large T+ RasG12V: 155.2
SLC25A46		ENSG00000164209	Solute carrier family 25 member 46	5	110738136-110765161	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA039601, HPA071582	Approved		Supported	Mitochondria	Thyroid cancer:2.52e-4 (unfavourable), Colorectal cancer:8.41e-4 (favourable)	Expressed in all	Expressed in all			testis: 37.6	Expressed in all		
FIG4	ALS11, CMT4J, dJ249I4.1, hSac3, KIAA0274, SAC3	ENSG00000112367	FIG4 phosphoinositide 5-phosphatase	6	109691312-109825428	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB017823, HPA068859	Approved		Approved	Vesicles<br>Lipid droplets	Liver cancer:4.73e-4 (unfavourable), Breast cancer:5.91e-4 (unfavourable), Renal cancer:8.19e-4 (favourable), Colorectal cancer:8.42e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 33.1	Expressed in all		
MCPH1	BRIT1, FLJ12847	ENSG00000147316	Microcephalin 1	8	6406592-6648504	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA008238, CAB012177	Supported		Uncertain	Nucleoplasm<br>Nuclear bodies	Colorectal cancer:8.52e-4 (favourable)	Expressed in all	Expressed in all			testis: 19.5	Expressed in all		
PKP2		ENSG00000057294	Plakophilin 2	12	32790745-32896840	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA014314, CAB037336, HPA056908	Enhanced		Enhanced	Nucleoplasm<br>Cell Junctions	Lung cancer:6.79e-4 (unfavourable), Colorectal cancer:8.55e-4 (favourable)	Mixed	Tissue enhanced		fallopian tube: 114.2;heart muscle: 123.3	parathyroid gland: 50.6	Cell line enhanced		CACO-2: 161.1
CCDC113	DKFZp434N1418, HSPC065	ENSG00000103021	Coiled-coil domain containing 113	16	58231157-58283836	Predicted intracellular proteins	Evidence at protein level	HPA040759, HPA040869	Uncertain		Approved	Nucleoplasm<br>Cytosol	Endometrial cancer:7.01e-4 (favourable), Colorectal cancer:8.65e-4 (favourable)	Mixed	Tissue enhanced		fallopian tube: 50.1;testis: 32.8	parathyroid gland: 16.3	Cell line enhanced		SiHa: 30.0
ABCE1	OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I	ENSG00000164163	ATP binding cassette subfamily E member 1	4	145097932-145129179	Predicted intracellular proteins	Evidence at protein level	CAB012476, HPA036846	Approved		Enhanced	Cytosol	Pancreatic cancer:1.88e-4 (unfavourable), Liver cancer:6.29e-4 (unfavourable), Colorectal cancer:8.69e-4 (favourable)	Expressed in all	Expressed in all			testis: 46.1	Expressed in all		
CCL11	eotaxin, MGC22554, SCYA11	ENSG00000172156	C-C motif chemokine ligand 11	17	34285668-34288334	Cancer-related genes, Predicted secreted proteins	Evidence at protein level						Head and neck cancer:1.99e-4 (favourable), Colorectal cancer:8.70e-4 (favourable)	Mixed	Tissue enhanced		appendix: 39.3;small intestine: 37.3	duodenum: 30.8	Cell line enriched	18	BJ hTERT+: 7.2
NUP54		ENSG00000138750	Nucleoporin 54	4	76114659-76148515	Plasma proteins, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA035929, HPA058122	Approved		Approved	Nucleoplasm	Liver cancer:4.64e-4 (unfavourable), Colorectal cancer:8.80e-4 (favourable)	Expressed in all	Expressed in all			testis: 39.1	Expressed in all		
AGPAT5	FLJ11210, LPAAT-e, LPAAT-epsilon	ENSG00000155189	1-acylglycerol-3-phosphate O-acyltransferase 5	8	6708357-6759666	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA010644, HPA010950	Approved				Liver cancer:4.57e-4 (unfavourable), Colorectal cancer:8.82e-4 (favourable)	Expressed in all	Expressed in all			testis: 46.9	Expressed in all		
ABHD5	CGI-58, NCIE2	ENSG00000011198	Abhydrolase domain containing 5	3	43690113-43734371	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB020685, HPA035851, HPA035852	Approved		Approved	Vesicles	Renal cancer:9.17e-5 (favourable), Colorectal cancer:8.89e-4 (favourable)	Expressed in all	Expressed in all			adipose tissue: 50.6	Expressed in all		
KIF13B	GAKIN, KIAA0639	ENSG00000197892	Kinesin family member 13B	8	29067279-29263124	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA025023, HPA049655	Enhanced				Renal cancer:0.00e+0 (favourable), Pancreatic cancer:4.77e-4 (unfavourable), Head and neck cancer:6.26e-4 (favourable), Colorectal cancer:8.92e-4 (favourable)	Expressed in all	Tissue enriched	10	parathyroid gland: 208.8	kidney: 20.2	Mixed		
ARSE	CDPX, CDPX1	ENSG00000157399	Arylsulfatase E (chondrodysplasia punctata 1)	X	2934632-2968310	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA060518, HPA070651	Approved		Supported	Golgi apparatus	Colorectal cancer:8.95e-4 (favourable)	Mixed	Tissue enhanced		kidney: 41.3;liver: 49.3	pancreas: 23.9	Cell line enhanced		A549: 65.1;CACO-2: 37.1;Hep G2: 46.2;NTERA-2: 32.8
TAP1	ABCB2, D6S114E, PSF1, RING4	ENSG00000168394	Transporter 1, ATP binding cassette subfamily B member	6	32845209-32853978	Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB009516, HPA072354	Approved		Supported	Endoplasmic reticulum<br>Microtubule organizing center	Renal cancer:6.58e-5 (unfavourable), Ovarian cancer:4.07e-4 (favourable), Colorectal cancer:9.01e-4 (favourable)	Expressed in all	Mixed			appendix: 19.9	Mixed		
DCP1A	HSA275986, SMAD4IP1, SMIF	ENSG00000272886	Decapping mRNA 1A	3	53283428-53347610	Plasma proteins, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA013202	Approved		Supported	Cytoplasmic bodies	Liver cancer:3.25e-5 (unfavourable), Colorectal cancer:9.01e-4 (favourable)	Expressed in all	Expressed in all			endometrium: 19.1	Expressed in all		
LEPROTL1	my047, Vps55	ENSG00000104660	Leptin receptor overlapping transcript-like 1	8	30095398-30177208	Predicted membrane proteins	Evidence at protein level	HPA047911	Uncertain				Renal cancer:1.94e-5 (unfavourable), Colorectal cancer:9.04e-4 (favourable)	Expressed in all	Expressed in all			placenta: 120.0	Expressed in all		
DIAPH3	AN, AUNA1, DRF3, FLJ34705, NSDAN	ENSG00000139734	Diaphanous related formin 3	13	59665583-60163987	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA032151			Supported	Plasma membrane<br>Microtubules	Lung cancer:3.72e-4 (unfavourable), Endometrial cancer:4.18e-4 (unfavourable), Colorectal cancer:9.04e-4 (favourable)	Mixed	Tissue enriched	7	testis: 34.0	placenta: 5.0	Mixed		
RCHY1	ARNIP, CHIMP, DKFZp586C1620, PIRH2, PRO1996, RNF199, ZCHY, ZNF363	ENSG00000163743	Ring finger and CHY zinc finger domain containing 1	4	75479037-75514764	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA030339	Approved		Supported	Nucleoplasm<br>Cytosol	Renal cancer:3.62e-5 (favourable), Urothelial cancer:7.89e-5 (favourable), Colorectal cancer:9.09e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 31.7	Expressed in all		
